<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;;;
SPFB.RTS-12.18;1;14.09.2018;12:53;107510,00;107510,00;107490,00;107490,00;2;;;
SPFB.RTS-12.18;1;14.09.2018;12:54;107490,00;107490,00;107490,00;107490,00;2;;;
SPFB.RTS-12.18;1;14.09.2018;12:55;107510,00;107510,00;107510,00;107510,00;2;;;
SPFB.RTS-12.18;1;14.09.2018;12:56;107550,00;107550,00;107550,00;107550,00;1;;;
SPFB.RTS-12.18;1;14.09.2018;12:57;107490,00;107490,00;107480,00;107480,00;2;;;
SPFB.RTS-12.18;1;14.09.2018;12:58;107480,00;107480,00;107360,00;107360,00;6;;;
SPFB.RTS-12.18;1;14.09.2018;12:59;107350,00;107360,00;107300,00;107300,00;10;;;
SPFB.RTS-12.18;1;14.09.2018;13:00;107320,00;107320,00;107310,00;107310,00;8;;;
SPFB.RTS-12.18;1;14.09.2018;13:01;107310,00;107310,00;107180,00;107180,00;32;;;
SPFB.RTS-12.18;1;14.09.2018;13:02;107150,00;107200,00;107150,00;107200,00;15;;;
SPFB.RTS-12.18;1;14.09.2018;13:04;107200,00;107220,00;107200,00;107220,00;33;;;
SPFB.RTS-12.18;1;14.09.2018;13:05;107230,00;107240,00;107210,00;107220,00;28;;;
SPFB.RTS-12.18;1;14.09.2018;13:06;107200,00;107200,00;107200,00;107200,00;2;;;
SPFB.RTS-12.18;1;14.09.2018;13:08;107260,00;107280,00;107200,00;107200,00;14;;;
SPFB.RTS-12.18;1;14.09.2018;13:10;107200,00;107200,00;107200,00;107200,00;2;;;
SPFB.RTS-12.18;1;14.09.2018;13:12;107190,00;107190,00;107190,00;107190,00;1;;;
SPFB.RTS-12.18;1;14.09.2018;13:13;107250,00;107260,00;107250,00;107260,00;2;;;
SPFB.RTS-12.18;1;14.09.2018;13:14;107260,00;107260,00;107220,00;107220,00;23;;;
SPFB.RTS-12.18;1;14.09.2018;13:16;107200,00;107200,00;107120,00;107160,00;66;;;
SPFB.RTS-12.18;1;14.09.2018;13:17;107170,00;107180,00;107170,00;107180,00;3;;;
SPFB.RTS-12.18;1;14.09.2018;13:18;107110,00;107180,00;107100,00;107180,00;9;;;
SPFB.RTS-12.18;1;14.09.2018;13:19;107230,00;107230,00;107230,00;107230,00;5;;;
SPFB.RTS-12.18;1;14.09.2018;13:21;107230,00;107260,00;107230,00;107260,00;10;;;
SPFB.RTS-12.18;1;14.09.2018;13:22;107300,00;107310,00;107300,00;107310,00;6;;;
SPFB.RTS-12.18;1;14.09.2018;13:23;107320,00;107390,00;107270,00;107390,00;32;;;
SPFB.RTS-12.18;1;14.09.2018;13:24;107390,00;107410,00;107320,00;107320,00;29;;;
SPFB.RTS-12.18;1;14.09.2018;13:25;107330,00;107350,00;107300,00;107320,00;25;;;
SPFB.RTS-12.18;1;14.09.2018;13:26;107300,00;107310,00;107300,00;107310,00;6;;;
SPFB.RTS-12.18;1;14.09.2018;13:29;107310,00;107320,00;107280,00;107320,00;9;;;
SPFB.RTS-12.18;1;14.09.2018;13:30;107370,00;107400,00;107370,00;107400,00;5;;;
SPFB.RTS-12.18;1;14.09.2018;13:31;107450,00;107890,00;107450,00;107610,00;233;;;
